Success,Strength,Portal_Name,Sector,Subsector,Industry,State,Security_Type,Women_Led_PIPR,Target_Raise,Total_Invested_Raised,Min_Investment,Max_Investment,Pre_Issue_Market_Cap
0,1,600,Technology,Computer Software,Location-Based Services,CA,Equity,FALSE,"400,000","150,000",0,0,"10,000,000"
0,1,AngelList,Services,E-Commerce,"E-Commerce, Apparel & Accessories",FL,Equity,TRUE,"50,000",0,0,0,0
0,1,AngelList,Services,Marketing,"Marketing, General",CA,Convertible Debt,FALSE,"1,500,000","485,822",0,0,"5,000,000"
0,1,AngelList,Consumer Goods,Household Goods,Pet Supplies,DC,Equity,TRUE,"100,000",0,0,0,"666,000"
0,1,AngelList,Technology,Search & Discovery,Search Engines,PA,Equity,FALSE,"10,000",0,0,0,0
0,1,AngelList,Technology,Computer Analytics,Recommendation Engine/Matching Services,DC,Equity,TRUE,"750,000",0,0,0,"1,950,000"
0,1,AngelList,Services,E-Commerce,"E-Commerce, Apparel & Accessories",TX,Equity,TRUE,"10,000",0,0,0,0
0,1,AngelList,Technology,Tech. Research & Development,Green Technology,VA,Equity,Unknown,"500,000",0,0,0,"5,000,000"
0,1,AngelList,Technology,Social Technology,Photo Sharing,CA,Equity,FALSE,"100,000",0,0,0,0
0,1,AngelList,Services,Consumer Services,Price Comparison,CA,Equity,FALSE,"700,000",0,0,0,"5,000,000"
0,1,AngelList,Technology,Social Technology,Online Dating Services,CA,Equity,FALSE,"2,000,000","400,000",0,0,"4,000,000"
0,1,AngelList,Technology,Social Technology,Social Media,CA,Debt,FALSE,"250,000",0,0,0,0
0,1,AngelList,Healthcare,Research & Development,Biotechnology,OH,Equity,FALSE,"10,000,000",0,0,0,0
0,1,AngelList,Technology,IT Services,Healthcare Information Services,MA,Equity,FALSE,"800,000",0,0,0,0
0,1,AngelList,Healthcare,Patient Care,Mobile Health Services,IL,Equity,FALSE,"750,000",0,0,0,"5,200,000"
0,1,AngelList,Services,Retail,Apparel & Accessories,GA,Equity,FALSE,"65,000",0,0,0,0
0,1,AngelList,Healthcare,Patient Care,Mobile Health Services,NJ,Convertible Debt,FALSE,"1,000,000",0,0,0,0
0,1,AngelList,Technology,Social Technology,Social Media,TX,Equity,FALSE,"1,000,000",0,0,0,0
0,1,AngelList,Technology,Computer Software,Internet of Things (Real-World Indexing),UT,Equity,Unknown,"3,000,000",0,0,0,0
0,1,AngelList,Technology,Computer Analytics,Big Data Analytics/Management,CA,Debt,FALSE,"250,000",0,0,0,0
0,1,AngelList,Services,New Media,Digital Media/New Media,CA,Equity,FALSE,"363,000",0,0,0,1
1,1,AngelList,Services,Artistic Services,Music Services,CA,Convertible Debt,TRUE,"1,000,000","2,090,600",0,0,0
0,1,AngelList,Services,Professional Services,"Professional Services, Other",VA,Equity,FALSE,"500,000",0,0,0,"1,500,000"
0,1,AngelList,Technology,Social Technology,Reviews & Recommendations,CA,Equity,FALSE,"250,000",0,0,0,0
0,1,AngelList,Services,Consumer Services,Delivery Services,NY,Equity,FALSE,"200,000",0,0,0,"250,000"
0,1,AngelList,Services,E-Commerce,"E-Commerce, Other",CA,Equity,FALSE,"500,000",0,0,0,0
0,1,AngelList,Services,New Media,Digital Media/New Media,CA,Convertible Debt,FALSE,"500,000",0,0,0,"6,000,000"
0,1,AngelList,Financial,Payment Services,Mobile Payment Processing,NY,Equity,FALSE,"150,000",0,0,0,"2,500,000"
0,1,AngelList,Technology,Technology Hardware,"Wearables, General",CA,Debt,FALSE,"1,000,000",0,0,0,0
0,1,AngelList,Technology,Computer Software,App Software,CA,Convertible Debt,TRUE,"600,000",0,0,0,0
0,1,AngelList,Services,Artistic Services,Film/Video Services,AZ,Equity,FALSE,"2,000,000",0,0,0,"5,000,000"
0,1,AngelList,Services,Marketing,Lead Generation,CA,Equity,FALSE,"500,000",0,0,0,0
0,1,AngelList,Technology,Social Technology,Photo Sharing,CA,Equity,FALSE,"100,000",0,0,0,"500,000"
0,1,AngelList,Technology,Social Technology,Photo Sharing,OK,Equity,FALSE,"250,000",0,0,0,0
0,1,AngelList,Healthcare,Healthcare Management,Specialized Health Services,NY,Convertible Debt,FALSE,"500,000","481,600",0,0,"3,500,000"
0,1,AngelList,Services,Artistic Services,Music Services,NY,Convertible Debt,FALSE,"250,000",0,0,0,"4,000,000"
0,1,AngelList,Services,Artistic Services,Music Services,WI,Equity,FALSE,"250,000",0,0,0,0
0,1,AngelList,Services,Education,Education K-12,NY,Equity,FALSE,"650,000",0,0,0,0
0,1,AngelList,Financial,Payment Services,Payment Processing,TN,Equity,FALSE,"100,000",0,0,0,0
0,1,AngelList,Technology,Tech. Research & Development,Green Technology,CA,Equity,Unknown,"1,000,000",0,0,0,"5,000,000"
0,1,AngelList,Consumer Goods,Personal Goods,Smoking Products,CA,Equity,TRUE,"275,000",0,0,0,0
0,1,AngelList,Services,Traditional Media,Film Production,TX,Convertible Debt,FALSE,"800,000","25,000",0,0,"8,000,000"
0,1,AngelList,Technology,IT Services,Information & Delivery Services,GA,Equity,FALSE,"500,000",0,0,0,"4,000,000"
0,1,AngelList,Technology,Computer Software,App Software,CA,Equity,TRUE,"800,000",0,0,0,"3,200,000"
0,1,AngelList,Technology,IT Services,Healthcare Information Services,DC,Equity,TRUE,"650,000",0,0,0,0
0,1,AngelList,Services,Marketing,"Marketing, General",SC,Equity,FALSE,"250,000",0,0,0,"1,250,000"
0,1,AngelList,Financial,Investment Services,Asset Management,CA,Equity,FALSE,"350,000",0,0,0,"1,600,000"
0,1,AngelList,Services,Consumer Services,General Consumer Services,NY,Equity,FALSE,"500,000",0,0,0,0
0,1,AngelList,Technology,Technology Hardware,3D Technology,CA,Equity,FALSE,"1,000,000","62,100",0,0,0
0,1,AngelList,Technology,Social Technology,Social Media,LA,Equity,FALSE,"1,000,000",0,0,0,0
0,1,AngelList,Consumer Goods,Personal Goods,Personal Products,CA,Equity,FALSE,"500,000",0,0,0,"1,670,000"
0,1,AngelList,Commerce & Industry,Business Services,"Business Services, General",CA,Debt,FALSE,"500,000",0,0,0,0
0,1,AngelList,Commerce & Industry,Business Services,"Business Services, General",AZ,Equity,FALSE,"15,000",0,0,0,0
0,1,AngelList,Technology,Social Technology,Social Media,CA,Equity,FALSE,"950,000",0,0,0,"5,500,000"
0,1,AngelList,Consumer Goods,Food Producers,Wineries & Distillers,CA,Equity,FALSE,"750,000",0,0,0,"1,450,000"
0,1,AngelList,Services,E-Commerce,"E-Commerce, Apparel & Accessories",OR,Equity,TRUE,"1,500,000",0,0,0,0
0,1,AngelList,Energy,Green/Clean Technology,Solar & Wind,CA,Equity,FALSE,"500,000",0,0,0,"1,000,000"
0,1,AngelList,Consumer Goods,Household Goods,Home & Garden,CA,Convertible Debt,FALSE,"300,000",0,0,0,"1,000,000"
0,1,AngelList,Healthcare,Patient Care,Long-Term Care Facilities,MI,Equity,FALSE,"5,000,000",0,0,0,"2,500,000"
0,1,AngelList,Technology,Computer Software,SaaS,TX,Debt,TRUE,"150,000",0,0,0,"1,000,000"
0,1,AngelList,Services,Social Economy,Social Commerce,OR,Equity,FALSE,"500,000",0,0,0,0
0,1,AngelList,Technology,Computer Software,Location-Based Services,MA,Convertible Debt,FALSE,"1,000,000",0,0,0,0
0,1,AngelList,Technology,Social Technology,Social Media,CA,Convertible Debt,FALSE,"500,000",0,0,0,"9,500,000"
0,1,AngelList,Technology,Computer Software,Internet Software & Services,CO,Convertible Debt,FALSE,"500,000",0,0,0,"6,000,000"
0,1,AngelList,Services,Consumer Services,General Consumer Services,NC,Equity,TRUE,"100,000",0,0,0,"20,000"
0,1,AngelList,Consumer Goods,Home Electronics,Electronic Equipment,CA,Equity,Unknown,"400,000","400,000",0,0,"2,000,000"
0,1,AngelList,Services,General Entertainment,Sporting Activities,CA,Convertible Debt,FALSE,"100,000",0,0,0,"2,000,000"
0,1,AngelList,Services,Artistic Services,Music Services,NY,Equity,FALSE,"750,000",0,0,0,"3,000,000"
0,1,AngelList,Financial,Investment Services,"Investments, Other",MA,Equity,FALSE,"500,000",0,0,0,"10,000,000"
0,1,AngelList,Financial,Payment Services,Payment Processing,NY,Equity,FALSE,"75,000",0,0,0,"450,000"
0,1,AngelList,Technology,Computer Hardware,Computing Devices,OH,Equity,Unknown,"100,000,000",0,0,0,"400,000,000"
0,1,AngelList,Consumer Goods,Personal Goods,Clothing,HI,Equity,FALSE,"180,000",0,0,0,"900,000"
0,1,AngelList,Technology,Social Technology,Social Media,WI,Equity,FALSE,"700,000",0,0,0,"5,000,000"
0,1,AngelList,Consumer Goods,Food Producers,Farm Products & Agriculture,CA,Equity,FALSE,"250,000",0,0,0,0
0,1,AngelList,Services,Retail,Automotive,MO,Equity,FALSE,"350,000",0,0,0,"2,500,000"
0,1,AngelList,Services,Education,Education K-12,PA,Equity,FALSE,"250,000",0,0,0,"2,000,000"
0,1,AngelList,Consumer Goods,Personal Goods,Footwear & Accessories,TX,Equity,FALSE,"500,000",0,0,0,"5,000,000"
0,1,AngelList,Technology,Social Technology,Social Media,NY,Equity,TRUE,"300,000",0,0,0,0
0,1,AngelList,Technology,IT Services,Information & Delivery Services,CA,Convertible Debt,FALSE,"400,000","50,000",0,0,"5,000,000"
0,1,AngelList,Financial,Payment Services,Payment Processing,NJ,Equity,FALSE,"1,000,000",0,0,0,"3,500,000"
0,1,AngelList,Services,Education,Education K-12,NY,Debt,FALSE,"200,000",0,0,0,0
0,1,AngelList,Services,Marketing,Predictive Marketing,CA,Equity,FALSE,"1,200,000",0,0,0,0
0,1,AngelList,Services,Education,Education K-12,NY,Convertible Debt,FALSE,"250,000",0,0,0,0
0,1,AngelList,Commerce & Industry,Business Services,Employment & Outsourcing,FL,Equity,FALSE,"750,000",0,0,0,"4,000,000"
0,1,AngelList,Technology,IT Services,Information & Delivery Services,RI,Equity,FALSE,"150,000",0,0,0,0
0,1,AngelList,Services,General Entertainment,Nightlife,IL,Equity,FALSE,"50,000",0,0,0,"1,000,000"
0,1,AngelList,Technology,Technology Hardware,Home Automation,MA,Equity,FALSE,"1,000,000",0,0,0,"6,000,000"
0,1,AngelList,Services,Retail,"Specialty Retail, Other",CA,Equity,FALSE,"100,000",0,0,0,"2,500,000"
0,1,AngelList,Services,Consumer Services,Loyalty & Coupon Services,TX,Convertible Debt,FALSE,"1,000,000",0,0,0,0
0,1,AngelList,Technology,Storage,Cloud Computing & Infrastructure,CA,Convertible Debt,FALSE,"500,000",0,0,0,0
0,1,AngelList,Healthcare,"Med. Equipment, Supplies & Svcs.",Medical Laboratories,CA,Convertible Debt,FALSE,"1,400,000","1,064,166",0,0,"10,000,000"
0,1,AngelList,Technology,Social Technology,Social Media,NY,Debt,TRUE,"300,000","275,000",0,0,0
0,1,AngelList,Consumer Goods,Leisure Goods,Sporting Goods,TX,Equity,FALSE,"2,000,000",0,0,0,"6,000,000"
0,1,AngelList,Services,E-Commerce,"E-Commerce, Automotive",NY,Equity,FALSE,"150,000","50,000",0,0,"1,200,000"
0,1,AngelList,Technology,Computer Software,App Software,NY,Equity,FALSE,"175,000",0,0,0,"2,000,000"
0,1,AngelList,Services,Education,Education K-12,CA,Convertible Debt,FALSE,"500,000","160,000",0,0,"3,000,000"
1,1,AngelList,Services,E-Commerce,"E-Commerce, Other",CA,Convertible Debt,FALSE,"600,000","605,000",0,0,"2,800,000"
0,1,AngelList,Technology,Computer Software,Multimedia & Graphics Software,CA,Equity,FALSE,"100,000",0,0,0,"1,000,000"
0,1,AngelList,Technology,IT Services,Healthcare Information Services,CA,Convertible Debt,FALSE,"750,000","370,000",0,0,"6,000,000"
0,1,AngelList,Consumer Goods,Vehicles & Parts,Trucks & Other Vehicles,CA,Equity,FALSE,"100,000",0,0,0,"1,000,000"
0,1,AngelList,Technology,Social Technology,Social Media,CA,Equity,FALSE,"850,000",0,0,0,"3,500,000"
1,1,AngelList,Services,Consumer Services,General Consumer Services,NY,Equity,FALSE,"1,500,000","1,779,500",0,0,"5,000,000"
