Target_Raise,Total_Invested_Raised,Pre_Issue_Market_Cap,Success,Strength
400000,150000,10000000,0,1
50000,0,0,0,1
1500000,485822,5000000,0,1
100000,0,666000,0,1
10000,0,0,0,1
750000,0,1950000,0,1
10000,0,0,0,1
500000,0,5000000,0,1
100000,0,0,0,1
700000,0,5000000,0,1
2000000,400000,4000000,0,1
250000,0,0,0,1
10000000,0,0,0,1
800000,0,0,0,1
750000,0,5200000,0,1
65000,0,0,0,1
1000000,0,0,0,1
1000000,0,0,0,1
3000000,0,0,0,1
250000,0,0,0,1
363000,0,1,0,1
1000000,2090600,0,1,1
500000,0,1500000,0,1
250000,0,0,0,1
200000,0,250000,0,1
500000,0,0,0,1
500000,0,6000000,0,1
150000,0,2500000,0,1
1000000,0,0,0,1
600000,0,0,0,1
2000000,0,5000000,0,1
500000,0,0,0,1
100000,0,500000,0,1
250000,0,0,0,1
500000,481600,3500000,0,1
250000,0,4000000,0,1
250000,0,0,0,1
650000,0,0,0,1
100000,0,0,0,1
1000000,0,5000000,0,1
275000,0,0,0,1
800000,25000,8000000,0,1
500000,0,4000000,0,1
800000,0,3200000,0,1
650000,0,0,0,1
250000,0,1250000,0,1
350000,0,1600000,0,1
500000,0,0,0,1
1000000,62100,0,0,1
1000000,0,0,0,1
500000,0,1670000,0,1
500000,0,0,0,1
15000,0,0,0,1
950000,0,5500000,0,1
750000,0,1450000,0,1
1500000,0,0,0,1
500000,0,1000000,0,1
300000,0,1000000,0,1
5000000,0,2500000,0,1
150000,0,1000000,0,1
500000,0,0,0,1
1000000,0,0,0,1
500000,0,9500000,0,1
500000,0,6000000,0,1
100000,0,20000,0,1
400000,400000,2000000,0,1
100000,0,2000000,0,1
750000,0,3000000,0,1
500000,0,10000000,0,1
75000,0,450000,0,1
100000000,0,400000000,0,1
180000,0,900000,0,1
700000,0,5000000,0,1
250000,0,0,0,1
350000,0,2500000,0,1
250000,0,2000000,0,1
500000,0,5000000,0,1
300000,0,0,0,1
400000,50000,5000000,0,1
1000000,0,3500000,0,1
200000,0,0,0,1
1200000,0,0,0,1
250000,0,0,0,1
750000,0,4000000,0,1
150000,0,0,0,1
50000,0,1000000,0,1
1000000,0,6000000,0,1
100000,0,2500000,0,1
1000000,0,0,0,1
500000,0,0,0,1
1400000,1064166,10000000,0,1
300000,275000,0,0,1
2000000,0,6000000,0,1
150000,50000,1200000,0,1
175000,0,2000000,0,1
500000,160000,3000000,0,1
600000,605000,2800000,1,1
100000,0,1000000,0,1
750000,370000,6000000,0,1
100000,0,1000000,0,1
850000,0,3500000,0,1
1500000,1779500,5000000,1,1
750000,0,3200000,0,1
500000,0,0,0,1
1000000,911000,10000000,0,1
1000000,100000,10000000,0,1
500000,0,3800000,0,1
1000000,25000,0,0,1
1000000,0,0,0,1
1000000,0,0,0,1
500000,0,0,0,1
500000,0,3000000,0,1
750000,160000,9000000,0,1
500000,0,0,0,1
350000,0,1400000,0,1
500000,393570,0,0,1
300000,0,3000000,0,1
20000000,0,0,0,1
1500000,1269500,4800000,0,1
1000000,853000,4000000,0,1
50000,0,0,0,1
1000000,0,0,0,1
300000,125000,5000000,0,1
500000,0,0,0,1
200000,112750,10000000,0,1
250000,0,0,0,1
260000,170000,2500000,0,1
200000,65000,3000000,0,1
350000,0,2,0,1
250000,0,4000000,0,1
500000,0,5000000,0,1
500000,0,4500000,0,1
1500000,0,0,0,1
750000,0,6000000,0,1
700000,0,3500000,0,1
121121,0,300000,0,1
1200000,1252000,0,1,1
500000,0,0,0,1
500000,0,5000000,0,1
1000000,500000,4000000,0,1
2500000,0,0,0,1
150000,0,1000000,0,1
500000,0,3000000,0,1
555000,35000,0,0,1
500000,0,10000000,0,1
350000,100000,5000000,0,1
900000,25000,3750000,0,1
50000000,0,5000000,0,1
